Tue Feb 27 15:55:25 +0000 2018, Wednesday, The Geldart, https://t.co/SZxKTMmOwA @geldart_pub
Wed Jun 14 08:51:01 +0000 2017, Wednesday, The Flying Pig, https://t.co/sLvXztqGPd @theflyingpigpub
Wed Jun 07 16:36:39 +0000 2017, Wednesday, The Anchor, https://t.co/BtCAVLRRRV @anchorcambridge
Wed May 31 08:26:52 +0000 2017, Wednesday, The Devonshire Arms, https://t.co/RimMVtS5gd @cambridgedev
Mon May 22 13:48:31 +0000 2017, Wednesday, @CambridgeCAMRA beer festival, https://t.co/HPwVM3JijY #cbf44
Tue May 16 15:45:13 +0000 2017, Wednesday, The Haymakers, https://t.co/dCAXevA2Qu @HaymakersCam
Wed May 10 07:17:23 +0000 2017, Wednesday, the Cambridge Blue, https://t.co/AegmbYcV3x
Tue Apr 25 16:02:18 +0000 2017, Wednesday, The Live and Let Live, https://t.co/OCGLHm9wyQ Preceded by Carlos' at 7 for food.
Tue Apr 18 11:52:31 +0000 2017, Wednesday, The Carpenters Arms, https://t.co/RiZVP4qpRD @thecarpenters13
Tue Apr 11 13:54:20 +0000 2017, Wednesday, St Radegund Beer Festival, https://t.co/UO1PYT1qJa Food at Efe's at 7
Tue Apr 04 15:48:23 +0000 2017, Wednesday, The Royal Standard, https://t.co/Of5cnlIY72 @RoyalStandardCB
Wed Mar 29 16:07:12 +0000 2017, Wednesday, The Alex, https://t.co/6fmrDlkjOZ @TheAlexCB1
Wed Mar 22 23:47:49 +0000 2017, Wednesday, The Architect, https://t.co/XHcc6peznO
Tue Mar 14 15:38:51 +0000 2017, Wednesday, The Geldart, https://t.co/SZxKTMmOwA @geldart_pub
Tue Mar 07 13:55:12 +0000 2017, Wednesday, The Grain and Hop Store, https://t.co/ODvYKqEoAf @grainhopcam
Tue Feb 28 13:21:43 +0000 2017, Wednesday, The Petersfield, https://t.co/DiR7fKb0oP
Wed Feb 22 20:33:42 +0000 2017, Wednesday, The Maypole, https://t.co/LAGn6ZtxmU
Tue Feb 14 17:14:34 +0000 2017, Wednesday, The Corner House, https://t.co/Uxby1LeF4a
Tue Feb 07 16:38:30 +0000 2017, Wednesday, The Mill, https://t.co/gnzvj2Rds4
Wed Feb 01 20:09:13 +0000 2017, Wednesday, The Pint Shop, https://t.co/xSZFh6uDAS
Wed Jan 25 13:03:16 +0000 2017, Wednesday, The Pickerel, https://t.co/p5TjNpltAd
Tue Jan 17 15:23:13 +0000 2017, Thursday, Winter Ale Festival, https://t.co/NjoEfSwieF
Tue Jan 10 17:30:34 +0000 2017, Wednesday, The Cambridge Blue, https://t.co/AegmbYcV3x @Cambridge_Blue
Wed Jan 04 17:53:47 +0000 2017, Wednesday, The Geldart, https://t.co/O9KlyeHehj
Wed Dec 21 15:40:43 +0000 2016, Wednesday, The Free Press, https://t.co/rjRAOMqqMw
Wed Dec 07 12:24:07 +0000 2016, Wednesday, The Golden Hind, https://t.co/ZvDS3sny09
Wed Nov 30 15:43:33 +0000 2016, Wednesday, The Maypole, https://t.co/Pv2NMHtxXZ
Tue Nov 08 17:22:25 +0000 2016, Wednesday, The Waterman, https://t.co/UQhBqBikFV
Tue Nov 01 17:01:17 +0000 2016, Wednesday, The Clarendon Arms, https://t.co/2Gy8AV0Dlz @clarendon_arms
Tue Oct 25 15:55:44 +0000 2016, Wednesday, The Devonshire Arms, https://t.co/RimMVtS5gd @cambridgedev
Tue Oct 18 17:05:57 +0000 2016, Wednesday, The Mitre, https://t.co/pCy8HCYHDF @mitrecambridge
Wed Oct 05 10:35:11 +0000 2016, Wednesday, The Queen Edith, https://t.co/EQVXSHpidZ @QueenEdithPub
Tue Sep 27 16:42:04 +0000 2016, Wednesday, The Snug (Grafton), https://t.co/STucWO9L6w
Wed Sep 21 15:17:49 +0000 2016, Wednesday, The Geldart, https://t.co/AUoaK9QjFF
Wed Sep 14 11:45:02 +0000 2016, Wednesday, The Alexandra Arms, https://t.co/PONjLUhMWr
Mon Sep 05 14:48:35 +0000 2016, Wednesday, The Histon Beer Festival, @RedLionHiston
Tue Aug 30 17:40:06 +0000 2016, Wednesday, The Bank (Willingham), https://t.co/6cRkaVlMyu
Tue Aug 23 21:26:32 +0000 2016, Wednesday, The Railway Vue, https://t.co/IIW3OGw3lP
Tue Aug 16 18:17:32 +0000 2016, Wednesday, The Free Press, https://t.co/faC2VVzbnG
Tue Aug 09 15:36:30 +0000 2016, Wednesday, The Granta, https://t.co/yPxxl6k2ot @grantapubcam
Tue Aug 02 09:48:33 +0000 2016, Wednesday, The Black Horse (Rampton), https://t.co/g0e9ly66dP
Tue Jul 19 13:39:39 +0000 2016, Wednesday, The Fort St George, @FortStGeorge https://t.co/Uc05gwXBUI
Tue Jul 12 19:21:17 +0000 2016, Wednesday, Cambridge Brew House, @TheCamBrewHouse https://t.co/WisIv2AV0b
Tue Jul 05 21:38:36 +0000 2016, Wednesday, The Cambridge Blue, https://t.co/YF8ICcIi6t
Wed Jun 29 10:54:11 +0000 2016, Wednesday, St Radegund, https://t.co/QNJxvhqWsg
Tue Jun 21 17:27:42 +0000 2016, Wednesday, The Haymakers, https://t.co/dCAXevA2Qu @HaymakersCam
Tue Jun 14 13:31:04 +0000 2016, Wednesday, The Blue Moon, https://t.co/ZvthYAmPJ0
Tue Jun 07 20:57:21 +0000 2016, Wednesday, The Alexandra Arms, https://t.co/PONjLUzol1
Wed Jun 01 12:48:35 +0000 2016, Wednesday, The Geldart, https://t.co/AUoaK9yIO7
Sat May 28 16:15:29 +0000 2016, Sunday, The Black Horse (Rampton), https://t.co/g0e9ly66dP
Tue May 24 12:46:37 +0000 2016, Wednesday, Cambridge & District CAMRA 43rd Cambridge Beer Festival, @cambeerfest https://t.co/kaGWUpwRkZ https://t.co/B6Q8ZnBBcc
Tue May 17 09:13:31 +0000 2016, Wednesday, The Old Bicycle Shop, https://t.co/pChRgGDLPI @oldbicycleshop
Tue May 10 13:07:45 +0000 2016, Wednesday, The Kingston Arms, https://t.co/9qnB9QMQwj @KingstonArms
Thu May 05 19:14:50 +0000 2016, @thecarpenters13 after the treatment by your staff last night at closing time we will not be visiting your pub again
Tue May 03 18:23:24 +0000 2016, Wednesday, The Carpenters Arms, https://t.co/RiZVP4qpRD @thecarpenters13
Wed Apr 27 12:45:36 +0000 2016, Wednesday, Live and Let Live, Wednesday, https://t.co/OCGLHm9wyQ
Tue Apr 19 13:27:03 +0000 2016, Wednesday, The Devonshire Arms, https://t.co/RimMVtS5gd @cambridgedev
Mon Apr 11 12:36:50 +0000 2016, Tuesday, The Royal Standard, https://t.co/Of5cnlIY72 @RoyalStandardCB
Tue Apr 05 09:04:00 +0000 2016, Wednesday, The Six Bells, https://t.co/7nwDn9PQei @sixbellscamb
Tue Mar 29 15:56:19 +0000 2016, Wednesday, The Snug Bar, https://t.co/U0Jhmfgw15, @TheSnugTrumps
Tue Mar 22 16:31:38 +0000 2016, Wednesday, The Pickerel, https://t.co/3MKV76qbzQ
Tue Mar 15 18:29:27 +0000 2016, Wednesday The Elm Tree, https://t.co/rcY8Lx53te
Tue Mar 08 19:22:02 +0000 2016, Wednesday The Eagle, https://t.co/biDAjIfXYJ @TheEagleGK
Tue Mar 01 18:27:17 +0000 2016, Wednesday, The Carpenters Arms, https://t.co/cPFAfmJldO @thecarpenters13
Tue Feb 23 16:22:41 +0000 2016, Wednesday Maypole beer festival, https://t.co/Z9OEWBSdrU
Wed Feb 17 11:26:40 +0000 2016, Wednesday, The Maypole, https://t.co/Z9OEWBSdrU @TheMaypoleCamb
Tue Feb 09 16:45:11 +0000 2016, Wednesday Live and Let Live, https://t.co/Wh0s8xgpKA
Wed Feb 03 13:46:47 +0000 2016, Wednesday, The Geldart, @geldart_pub https://t.co/AUoaK9QjFF
Tue Jan 19 17:13:12 +0000 2016, Thursday, Cambridge Winter Ale Festival, https://t.co/qhAQXkaCTO
Tue Jan 12 17:12:42 +0000 2016, Wednesday, The Champion of the Thames, https://t.co/Z5EB1W6kEA @ChampThames
Wed Jan 06 12:00:04 +0000 2016, Wednesday, Kingston Arms, https://t.co/WmOSrk2H8t @KingstonArms
Wed Dec 30 18:31:20 +0000 2015, Wednesday, The Cambridge Blue, https://t.co/YF8ICcIi6t
Wed Dec 16 16:49:39 +0000 2015, Wednesday, The Waterman, https://t.co/LdfzHfHz8A
Wed Dec 09 14:30:33 +0000 2015, Wednesday, The Grain & Hop Store, https://t.co/be2qhC25mh
Wed Dec 02 12:34:44 +0000 2015, Wednesday,  Clarendon Arms, https://t.co/MI6Hy3V8YC @clarendon_arms
Wed Nov 25 16:15:39 +0000 2015, Wednesday, Thirsty, https://t.co/aijpNA3enm at 7:30pm, followed by Fort St. George https://t.co/skAfF2KVkF
Tue Nov 17 23:15:47 +0000 2015, Wednesday, The Hopbine, https://t.co/Hxt2sl9Lv8
Tue Nov 10 18:23:05 +0000 2015, Wednesday, The Royal Standard, https://t.co/9DWbQMEPaK @RoyalStandardCB
Tue Nov 03 14:44:18 +0000 2015, Wednesday, The Snug, https://t.co/gd5U9oKkbx @TheSnugTrumps
Wed Oct 28 08:30:59 +0000 2015, Wednesday, The Cambridge Blue, https://t.co/nL2OEIHBsu
Tue Oct 20 13:55:38 +0000 2015, Wednesday, The Live & Let Live, https://t.co/ITaAukGd7e
Tue Oct 13 13:33:07 +0000 2015, Wednesday, Queen Edith, http://t.co/9ZjzHz6L34 @QueenEdithPub
Wed Oct 07 08:20:33 +0000 2015, Wednesday, The Mill, http://t.co/ta3EcO1ZpC @TheMillCam
Tue Sep 29 16:27:15 +0000 2015, Wednesday, Ancient Shepherds, https://t.co/qoNeM9rbRQ
Wed Sep 23 09:32:23 +0000 2015, Wednesday, The Haymakers, http://t.co/x7jldWfdxY @HaymakersCam
Tue Sep 15 08:55:30 +0000 2015, Wednesday, Carpenters Arms, http://t.co/cPFAfmJldO @thecarpenters13
Tue Sep 08 20:36:45 +0000 2015, Wednesday, Histon Beer Festival, http://t.co/6yd3aI5Yjl
Tue Aug 25 17:09:46 +0000 2015, Wednesday, The Maypole,
Wed Aug 19 09:06:58 +0000 2015, Wednesday, The Cambridge Brew House, http://t.co/VzuC72RAsk @TheCamBrewHouse
Wed Aug 12 13:09:06 +0000 2015, Wednesday, The Old Spring, https://t.co/Nn24mYarIg
Tue Aug 04 16:10:15 +0000 2015, Wednesday, The Free Press, @freepresspub http://t.co/2bnum19aP3
Tue Jul 28 19:33:18 +0000 2015, Wednesday, Champion of the Thames, @ChampThames http://t.co/Z5EB1W6kEA
Tue Jul 21 16:38:29 +0000 2015, Wednesday, The Maypole, @TheMaypoleCamb http://t.co/Z9OEWBSdrU
Wed Jul 15 13:37:21 +0000 2015, Wednesday, The Granta, https://t.co/vaLSX6I7zK
Tue Jul 07 12:16:13 +0000 2015, Wednesday, The Pickerel, https://t.co/T287Ti9V21
Tue Jun 30 16:23:35 +0000 2015, Wednesday, The Black Horse (Rampton) https://t.co/1bgMy1MKDC
Tue Jun 23 13:03:12 +0000 2015, Wednesday, The Geldart, http://t.co/4Tw43rpgpA @geldart_pub
Tue Jun 16 17:19:16 +0000 2015, Wednesday, The Cambridge Blue, https://t.co/USSWjoUiVV
Tue Jun 09 16:40:50 +0000 2015, Wednesday, The Carpenters Arms, @thecarpenters13 https://t.co/TE6X0lv8Ll
Tue Jun 02 14:42:21 +0000 2015, Wednesday, The Elm Tree, http://t.co/rv6wc85Zqx
Tue May 26 13:12:09 +0000 2015, Wednesday, The Haymakers, http://t.co/x7jldWfdxY @HaymakersCam
Tue May 19 08:44:05 +0000 2015, Wednesday, The Cambridge Beer Festival, http://t.co/fhB0Ted8Gg
Tue May 12 17:01:11 +0000 2015, Wednesday, The Mill, http://t.co/ta3EcO1ZpC, @TheMillCam
Tue May 05 15:33:10 +0000 2015, Wednesday, The Hopbine, http://t.co/ZJCCSA4Pkn @TheHopbine
Tue Apr 28 16:55:59 +0000 2015, Wednesday, Queen Edith, (just reopened!) @QueenEdithPub https://t.co/nDC8BpXVzN
Tue Apr 21 14:34:31 +0000 2015, Wednesday, The Cambridge Blue, http://t.co/nL2OEIHBsu
Tue Apr 14 13:46:32 +0000 2015, Wednesday, The Anchor, http://t.co/SDAdvfpse0, @anchorcambridge
Tue Apr 07 15:38:06 +0000 2015, Wednesday, The Old Spring, http://t.co/M9ZaHKVwXG @TheOldSpring
Tue Mar 31 10:01:35 +0000 2015, Wednesday, Salisbury Arms, http://t.co/jMqKt6UUux
Tue Mar 24 18:05:46 +0000 2015, Wednesday, St Radegund, http://t.co/zGo6UIZsXt, @Radegund
Tue Mar 17 10:28:06 +0000 2015, Wednesday, The Grain Store, http://t.co/TD7p2YzPA5
Wed Mar 11 09:16:57 +0000 2015, Wednesday, Champion of the Thames, http://t.co/Z5EB1W6kEA @ChampThames
Tue Mar 03 18:00:19 +0000 2015, Wednesday, Live and Let Live, http://t.co/Wh0s8xgpKA
Tue Feb 24 14:56:44 +0000 2015, Wednesday, The Waterman, http://t.co/LdfzHfHz8A
Tue Feb 17 17:27:22 +0000 2015, Wednesday, The Castle Inn, http://t.co/KGjTbG6eMt @Adnamscastleinn
Tue Feb 10 16:34:07 +0000 2015, Wednesday, The Mitre, @mitrecambridge http://t.co/QWBQ56fMWO
Tue Feb 03 13:44:12 +0000 2015, Wednesday, Brew House, @TheCamBrewHouse http://t.co/FWkef55M3w
Tue Jan 27 16:23:42 +0000 2015, Wednesday, Carpenters Arms, @thecarpenters13 http://t.co/nQ250BjFk8
Tue Jan 20 11:16:22 +0000 2015, Thursday, Winter Beer Festival USSC, @cambeerfest http://t.co/5OoB5XY9wX
Tue Jan 13 15:07:16 +0000 2015, Wednesday, The Geldart, http://t.co/90nGJV9My5
Tue Jan 06 10:15:02 +0000 2015, Wednesday, The Tram Depot, http://t.co/D3pPGfekUb
Tue Dec 09 16:07:29 +0000 2014, Wednesday, The Devonshire Arms, http://t.co/CMGoF0FuT1
Wed Dec 03 13:17:06 +0000 2014, Wednesday, The Pickerel, http://t.co/Qo6adjtVDF
Tue Nov 25 19:03:32 +0000 2014, Wednesday, The Elm Tree, http://t.co/5ISfnRpYk0 Wednesday
Wed Nov 19 16:44:19 +0000 2014, Wednesday,  The Mill, http://t.co/P2204JTiWc
Wed Nov 12 11:14:28 +0000 2014, Wednesday,  The Mitre, http://t.co/RIMuQvwDXX
Tue Nov 04 16:23:23 +0000 2014, Wednesday, The Architect, http://t.co/I9nTRzAKO8 @thearchitectcb3
Tue Oct 28 20:52:47 +0000 2014, Wednesday, Panton Arms, http://t.co/59coe3CYBf
Tue Oct 21 15:01:40 +0000 2014, Wednesday, Champion of the Thames, http://t.co/jEe5kItC0D
Fri Oct 17 15:16:40 +0000 2014, Friday, Octoberfest at the USCC, http://t.co/gksbYWqbmB
Tue Oct 14 10:49:07 +0000 2014, Wednesday, St Radegund, http://t.co/zGo6UIZsXt
Tue Oct 07 16:08:52 +0000 2014, Wednesday, The Carpenters Arms, http://t.co/3EP5z3CpO1
Tue Sep 30 16:59:04 +0000 2014, Wednesday, The Haymakers, http://t.co/P0kAkbltNH
Tue Sep 23 15:20:00 +0000 2014, Wednesday, The Tivoli, http://t.co/dBNBvBQuCh
Tue Sep 16 17:58:22 +0000 2014, Wednesday, The Pickerel Inn, http://t.co/HMjdySQ26h
Sat Sep 06 18:00:25 +0000 2014, Wednesday, Simon's house,
Tue Sep 02 15:50:11 +0000 2014, Wednesday, Histon Beer Festival, http://t.co/yYlwuOONQD
Fri Aug 29 13:24:15 +0000 2014, Friday, The County Arms,
Tue Aug 26 14:52:36 +0000 2014, Wednesday, The Geldart, http://t.co/TKzZuqgttH
Tue Aug 19 20:32:48 +0000 2014, Wednesday, The Live & Let Live, http://t.co/5lWffNgddF
Tue Aug 05 14:27:41 +0000 2014, Wednesday, The Haymakers, http://t.co/x7jldWfLnw
Wed Jul 30 12:29:36 +0000 2014, Wednesday, The Maypole, http://t.co/e5HrFXAVbp
Tue Jul 22 16:39:38 +0000 2014, Wednesday, The Castle Inn, http://t.co/KGjTbG6MC1
Tue Jul 15 13:49:56 +0000 2014, Wednesday, The Devonshire Arm, http://t.co/1Yo9ay4lGU
Tue Jul 08 12:13:28 +0000 2014, Wednesday, The Red Lion (Histon), http://t.co/qV0qvszY4p
Tue Jul 01 16:39:18 +0000 2014, Wednesday, Carpenters Arms, http://t.co/uh1eiVM66l
Tue Jun 24 11:57:53 +0000 2014, Wednesday, The Cambridge Blue, http://t.co/JIs61AzpAy
Tue Jun 17 13:50:06 +0000 2014, Wednesday, The Alexandra Arms, http://t.co/iFIcPYtV7I
Fri Jun 13 15:47:12 +0000 2014, Friday, The Pickerel Inn, http://t.co/lhcJGldhSP
Tue Jun 10 13:10:04 +0000 2014, Wednesday, The Black Horse (Rampton), http://t.co/uejbci94BN
Tue Jun 03 16:12:37 +0000 2014, Wednesday, The Cambridge Brew House, http://t.co/VzuC72S8hS
Mon Jun 02 15:50:18 +0000 2014, Wednesday, The County Arms, http://t.co/FpVKd5DBhi
Tue May 27 15:22:15 +0000 2014, Wednesday, The Hopbine, http://t.co/NJLOQUcbxP @TheHopbine
Mon May 19 12:05:59 +0000 2014, Wednesday, The 41st Cambridge Beer Festival, http://t.co/neJSQmGxZA
Tue May 13 15:43:30 +0000 2014, Wednesday, The Mill, http://t.co/hBgUxwAmdX
Tue May 06 11:34:15 +0000 2014, Wednesday, The Cambridge Brew House, http://t.co/PLgCP04sR7
Tue Apr 29 12:32:39 +0000 2014, Wednesday, The Old Spring, http://t.co/sJDY8yNYbE
Tue Apr 22 15:52:57 +0000 2014, Wednesday, The Geldart, http://t.co/gSAanx7BzI
